Catégorie/Année;Au 31/12/2010;Au 31/12/2011;Au 31/12/2012;Au 31/12/2013;Au 31/12/2014;Au 31/12/2015;Au 31/12/2016;Au 31/12/2017;Au 31/12/2018;Au 31/12/2019;Au 31/12/2020;Au 31/12/2021;31/12/2022;31/12/2023;
Nombre d’opérateurs;35;32;30;21;16;16;14;15;14;13;14;15;17;16;
Nombre d’agréments;48;48;33;30;31;29;27;28;27;26;27;28;30;28;
Nombre agréments paris sportifs;15;16;9;9;11;11;12;13;13;13;14;15;17;16;
Nombre agréments paris hippiques;8;9;8;8;8;8;8;8;8;7;7;7;6;5;
Nombre agréments poker;25;23;16;13;12;10;7;7;6;6;6;6;7;7;
Nombre de comptes joueurs actifs total (en milliers);2058;2325;2229;2142;2320;2102;2483;2804;3914;4174;4891;5435;5213;5096;
Nombre CJA Paris sportifs (en milliers);819;705;765;842;1142;1193;1621;1993;3227;3443;3865;4474;4457;4284;
Nombre CJA Paris hippiques (en milliers);365;502;509;496;488;475;484;523;588;599;628;624;625;653;
Nombre CJA Poker (en milliers);1188;1686;1713;1240;1157;990;972;1049;1136;1199;1840;1653;1763;1899;
Nombre de joueurs uniques;;;;;;;;;2663;2879;3388;3730;3800;3597;
Mises paris sportifs (en M€);448;592;705;848;1107;1440;2081;2510;3904;5056;5352;7891;8307;8490;
PBJ paris sportifs (en M€);79;115;138;164;227;270;349;472;691;880;940;1355;1389;1477;
Mises paris hippiques (en M€);452;1034;1124;1111;1034;1016;924;999;1049;1106;1473;1583;1439;1513;
PBJ paris hippiques (en M€);99;243;263;264;257;254;234;245;256;271;354;375;346;353;
PBJ poker (en M€);139;314;297;258;241;232;230;245;258;272;446;429;442;504;
Budget marketing médias (en M€);;;;;;;;62,6;85,9;119;128;169;139;107;
Part hommes PS;92%;92%;92%;92%;93%;93%;92%;92%;92%;90%;89%;85%;85%;85%;
Part femmes PS;8%;8%;8%;8%;7%;7%;8%;8%;8%;10%;11%;15%;15%;15%;
Part hommes PH;81%;80%;81%;81%;83%;89%;89%;89%;89%;89%;89%;81%;82%;80%;
Part femmes PH;19%;20%;19%;19%;17%;11%;11%;11%;11%;11%;11%;19%;18%;20%;
Part hommes PO;91%;89%;88%;88%;89%;83%;83%;83%;83%;84%;83%;87%;88%;87%;
Part femmes PO;9%;11%;12%;12%;11%;17%;17%;17%;17%;16%;17%;13%;12%;13%;
Part mises football;;;59%;61%;63%;58%;58%;57%;60%;54%;66%;60%;56%;52%;
Part mises tennis;;;19%;19%;16%;20%;20%;21%;20%;23%;15%;19%;22%;23%;
Part mises basketball;;;8%;9%;10%;11%;10%;11%;10%;12%;9%;13%;12%;11%;
Part mises rugby;;;3%;3%;3%;4%;3%;3%;2%;3%;2%;2%;2%;3%;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Données non disponibles;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
